molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3
1963646,-89.0,%,Efficacy,CHEMBL3617304,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1ccccc1,-89.0,,,
1963647,-75.0,%,Efficacy,CHEMBL3617305,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1ccc(F)cc1,-75.0,,,
1963648,-69.0,%,Efficacy,CHEMBL3617306,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1cccc(F)c1,-69.0,,,
1963649,-81.0,%,Efficacy,CHEMBL3617307,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1ccccc1F,-81.0,,,
1963650,-80.0,%,Efficacy,CHEMBL3617308,Cc1ccccc1C(=O)Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2,-80.0,,,
1963651,-89.0,%,Efficacy,CHEMBL3617309,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1ccccc1Cl,-89.0,,,
1963652,-54.0,%,Efficacy,CHEMBL3617310,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1ccno1,-54.0,,,
1963653,-58.0,%,Efficacy,CHEMBL3617311,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1ccncc1,-58.0,,,
1963655,-77.0,%,Efficacy,CHEMBL3617313,O=S(=O)(Nc1ccc2c(c1)N(S(=O)(=O)c1ccc(F)cc1)CCC2)c1ccccc1,-77.0,,,
2257414,99.0,%,Efficacy,CHEMBL4125723,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NCCN3CCOCC3)nc2CC2CCCCC2)c2ccccc12,99.0,,,
2257448,88.66666666666667,%,Efficacy,CHEMBL4125757,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CCOCC3)nc2CC2CCCCC2)c2ccccc12,82.0,85.0,99.0,
2257560,94.0,%,Efficacy,CHEMBL4125869,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2-c2cccc(F)c2)c(Cl)c1Cl)C(F)(F)F,94.0,,,
2257587,102.0,%,Efficacy,CHEMBL4125896,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(N)=O)nc2CC2CCCCC2)c2ccccc12,102.0,,,
2257731,87.66666666666667,%,Efficacy,CHEMBL4126040,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c(Cl)c1,69.0,88.0,106.0,
2257887,109.0,%,Efficacy,CHEMBL4126196,CC(C)(O)CNC(=O)c1nc(CC2CCCCC2)c(-c2cnc(S(=O)(=O)NC(C)(C)C)c3ccccc23)s1,109.0,,,
2257907,97.66666666666667,%,Efficacy,CHEMBL4126216,CC(C)(C)NS(=O)(=O)c1ncc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,85.0,100.0,108.0,
2258008,101.0,%,Efficacy,CHEMBL4126317,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2Cc2ccc(F)cc2)c(Cl)c1Cl)C(F)(F)F,101.0,,,
2258057,90.33333333333333,%,Efficacy,CHEMBL4126366,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2c1CCCC2,83.0,84.0,104.0,
2258225,106.0,%,Efficacy,CHEMBL4126534,CC(C)(C)NC(=O)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C2(C)CC2)c1,106.0,,,
2258381,93.0,%,Efficacy,CHEMBL4126690,CC(C)(C)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C(O)(C(F)(F)F)C(F)(F)F)c1,93.0,,,
2258682,103.0,%,Efficacy,CHEMBL4126991,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC3CS(=O)(=O)C3)nc2CC2CCCCC2)c2ccccc12,103.0,,,
2258818,100.5,%,Efficacy,CHEMBL4127127,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)C(N)=O)nc2CC2CCCCC2)c2ccccc12,100.0,101.0,,
2258880,100.0,%,Efficacy,CHEMBL4127189,CC(C)(CCF)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,100.0,,,
2258973,104.0,%,Efficacy,CHEMBL4127282,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12)C(F)(F)F,104.0,,,
2259278,96.0,%,Efficacy,CHEMBL4127587,CC(C)(CCO)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,96.0,,,
2259389,101.0,%,Efficacy,CHEMBL4127698,CC(C)(O)CNC(=O)c1nc(CC2CCCCC2)c(-c2ccc(S(=O)(=O)NC(C)(C)C)c(Cl)c2C(F)F)s1,101.0,,,
2259456,91.33333333333333,%,Efficacy,CHEMBL4127765,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC34CC(C(=O)O)(C3)C4)nc2CC2CCCCC2)c2ccccc12,80.0,89.0,105.0,
2259583,85.0,%,Efficacy,CHEMBL4127892,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2C2CCCCC2)c(Cl)c1Cl)C(F)(F)F,85.0,,,
2259617,76.33333333333333,%,Efficacy,CHEMBL4127926,C[C@H](NC(=O)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C(C)(C)C)c1)C(F)(F)F,40.0,87.0,102.0,
2259623,96.5,%,Efficacy,CHEMBL4127932,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)N3CC4(C3)CS(=O)(=O)C4)nc2CC2CCC2)c(Cl)c1Cl)C(F)(F)F,92.0,101.0,,
2259675,94.0,%,Efficacy,CHEMBL4127984,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CCS(=O)(=O)CC3)nc2C(C)(C)C)c2ccccc12,94.0,,,
2259733,84.0,%,Efficacy,CHEMBL4128042,C[C@H](NC(=O)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C2(C)CC2)c1)C(F)(F)F,62.0,86.0,104.0,
2259767,104.0,%,Efficacy,CHEMBL4128076,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2CC2CC2)c2ccccc12)C(F)(F)F,104.0,,,
2259953,90.5,%,Efficacy,CHEMBL4128262,CC(C)(O)CNC(=O)c1nc(CC2CCCCC2)c(-c2ccc(S(=O)(=O)NC3(C#N)CC3)c3ccccc23)s1,81.0,100.0,,
2260054,96.33333333333333,%,Efficacy,CHEMBL4128363,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CS(=O)(=O)C3)nc2CC2CCCCC2)c2ccccc12,81.0,97.0,111.0,
2260118,78.5,%,Efficacy,CHEMBL4128427,C[C@H](NS(=O)(=O)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C(C)(C)C)c1)C(F)(F)F,61.0,96.0,,
2260266,94.0,%,Efficacy,CHEMBL4128575,CCC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,94.0,,,
2260356,69.5,%,Efficacy,CHEMBL4128665,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c(C(F)(F)F)c1,38.0,101.0,,
2260378,93.5,%,Efficacy,CHEMBL4128687,CC(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c(C(F)F)c1Cl,81.0,106.0,,
2260617,94.0,%,Efficacy,CHEMBL4128926,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,79.0,98.0,105.0,
2260700,103.0,%,Efficacy,CHEMBL4129009,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N3CCC(C)(C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,103.0,,,
2260725,96.0,%,Efficacy,CHEMBL4129034,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NC3CCS(=O)(=O)CC3)nc2CC2CC2)c2ccccc12)C(F)(F)F,87.0,105.0,,
2260854,105.0,%,Efficacy,CHEMBL4129163,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N3CC(C(C)(C)C(=O)O)C3)nc2CC2CCCCC2)c2ccccc12,105.0,,,
2260893,106.0,%,Efficacy,CHEMBL4129202,CC(C)(O)CNC(=O)c1nc(CC2CCCCC2)c(-c2ccc(S(=O)(=O)NC(C)(C)C)c3ccccc23)s1,106.0,,,
2261014,76.0,%,Efficacy,CHEMBL4129323,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2CC2CCC2)c(C(F)F)c1)C(F)(F)F,49.0,103.0,,
2261112,90.0,%,Efficacy,CHEMBL4129421,C[C@H](NC(=O)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C2(C#N)CC2)c1)C(F)(F)F,90.0,,,
2261116,85.0,%,Efficacy,CHEMBL4129425,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2COC(C)(C)C)c(Cl)c1Cl)C(F)(F)F,65.0,105.0,,
2261185,93.0,%,Efficacy,CHEMBL4129494,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N3CC4(C3)CS(=O)(=O)C4)nc2CC2CCCCC2)c(Cl)c1Cl,84.0,92.0,103.0,
2261290,99.0,%,Efficacy,CHEMBL4129599,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N3CC4(C3)CS(=O)(=O)C4)nc2CC2CCCCC2)c2ccccc12,95.0,103.0,,
2261325,80.5,%,Efficacy,CHEMBL4129634,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCC2)c2ccccc12)C(F)(F)F,71.0,90.0,,
2261347,83.0,%,Efficacy,CHEMBL4129656,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c(Cl)c1Cl,68.0,77.0,104.0,
2261481,102.0,%,Efficacy,CHEMBL4129790,CC[C@H](NC(=O)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C2(C)CC2)c1)C(F)(F)F,102.0,,,
2261653,106.0,%,Efficacy,CHEMBL4129962,CC(C)(C)c1cc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)cc(C2(C)CC2)c1,106.0,,,
2261747,91.33333333333333,%,Efficacy,CHEMBL4130056,Cc1c(S(=O)(=O)NC(C)(C)C)ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c1OC(F)F,76.0,80.0,118.0,
2261828,98.0,%,Efficacy,CHEMBL4130137,C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2CC2CC(F)(F)C2)c2ccccc12)C(F)(F)F,94.0,102.0,,
2261985,94.5,%,Efficacy,CHEMBL4130294,CCS(=O)(=O)c1ccc(CNC(=O)c2nc(CC3CCCCC3)c(-c3ccc(S(=O)(=O)NC(C)(C)C)c4ccccc34)s2)cc1,90.0,99.0,,
2262426,-70.5,%,Efficacy,CHEMBL4159395,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(C#N)cc(F)c3OC)cs2)cc1,-84.0,-57.0,,
2262850,-76.5,%,Efficacy,CHEMBL4159819,CCS(=O)(=O)c1ccc([C@@H](NC(C)=O)C(=O)Nc2cc(-c3cccnc3OCc3ccc(OC(F)(F)F)cc3)cs2)cc1,-81.0,-72.0,,
2263258,6.0,%,Efficacy,CHEMBL4160227,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OC/C=C/c3ccccc3)cs2)cc1,-78.0,90.0,,
2264439,-96.0,%,Efficacy,CHEMBL4161408,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)cs2)cc1,-96.0,,,
2264727,-64.0,%,Efficacy,CHEMBL4161696,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(C#N)cnc3OC)cs2)cc1,-64.0,,,
2265790,-82.0,%,Efficacy,CHEMBL4162759,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OC)cs2)cc1,-82.0,,,
2266224,-63.0,%,Efficacy,CHEMBL4163193,CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cc(C#N)cnc3OCC(F)(F)F)cs2)cc1,-66.0,-60.0,,
2266246,-68.0,%,Efficacy,CHEMBL4163215,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCc3ccc(OC(F)(F)F)cc3)cs2)cc1,-68.0,,,
2268152,-72.0,%,Efficacy,CHEMBL4165121,CCS(=N)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(C#N)ccc3OC)cs2)cc1,-72.0,,,
2268936,-72.0,%,Efficacy,CHEMBL4165905,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(Cl)cc(C#N)c3)cs2)cc1,-72.0,,,
2269234,-63.0,%,Efficacy,CHEMBL4166203,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cncnc3OC)cs2)cc1,-63.0,,,
2270013,-57.0,%,Efficacy,CHEMBL4166982,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCc3ccc(C#N)cc3)cs2)cc1,-57.0,,,
2270127,-57.5,%,Efficacy,CHEMBL4167096,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(C#N)cnc3OCC(F)(F)F)cs2)cc1,-66.0,-49.0,,
2270819,-54.0,%,Efficacy,CHEMBL4167788,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCC(F)(F)F)cs2)cc1,-64.0,-44.0,,
2271485,-95.0,%,Efficacy,CHEMBL4168454,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCc3ccc(C(=O)OC)cc3)cs2)cc1,-98.0,-92.0,,
2271527,-74.0,%,Efficacy,CHEMBL4168496,CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cc(C#N)cc(F)c3OC)cs2)cc1,-80.0,-72.0,,
2272059,-54.5,%,Efficacy,CHEMBL4169028,CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cccnc3Oc3ccc(C#N)cc3)cs2)cc1,-57.0,-52.0,,
2272660,-74.0,%,Efficacy,CHEMBL4169629,CC[S+]([O-])c1ccc(CC(=O)Nc2cc(-c3cc(C#N)cnc3OC)cs2)cc1,-74.0,,,
2273058,-90.0,%,Efficacy,CHEMBL4170027,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3ccc(C#N)cc3Cl)cs2)cc1,-90.0,,,
2273388,-72.0,%,Efficacy,CHEMBL4170357,CCOc1ncccc1-c1csc(NC(=O)Cc2ccc(S(=O)(=O)CC)cc2)c1,-72.0,,,
2273503,-86.5,%,Efficacy,CHEMBL4170472,CCS(=O)(=O)c1ccc([C@H](NC(C)=O)C(=O)Nc2cc(-c3cccnc3OCc3ccc(OC(F)(F)F)cc3)cs2)cc1,-90.0,-83.0,,
2273531,-65.0,%,Efficacy,CHEMBL4170500,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3Oc3ccc(OC(F)(F)F)cc3)cs2)cc1,-65.0,,,
2274567,-62.0,%,Efficacy,CHEMBL4171536,CCS(=O)(=O)c1ccc(C(N)C(=O)Nc2cc(-c3cc(C#N)cc(F)c3OC)cs2)cc1,-62.0,,,
2274876,-87.0,%,Efficacy,CHEMBL4171845,CCS(=O)(=O)N1CCC(CC(=O)Nc2cc(-c3cc(C#N)cnc3OC)cs2)CC1,-87.0,,,
2276056,-69.0,%,Efficacy,CHEMBL4173025,CNS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(C#N)cnc3OC)cs2)cc1,-69.0,,,
2276498,-74.0,%,Efficacy,CHEMBL4173467,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(C#N)ccc3OC)cs2)cc1,-74.0,,,
2277294,-79.0,%,Efficacy,CHEMBL4174263,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3Oc3ccc(C#N)cc3)cs2)cc1,-79.0,,,
2278007,-54.0,%,Efficacy,CHEMBL4174976,CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cc(C#N)cnc3OC)cs2)cc1,-55.0,-53.0,,
2279544,-78.0,%,Efficacy,CHEMBL4176513,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cc(C#N)ccc3Cl)cs2)cc1,-78.0,,,
2279918,-68.5,%,Efficacy,CHEMBL4176887,CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cccnc3OCc3ccc(OC(F)(F)F)cc3)cs2)cc1,-77.0,-60.0,,
2316989,89.0,%,Efficacy,CHEMBL4277538,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)N(C)C)cc2)cc1,89.0,,,
2317736,92.0,%,Efficacy,CHEMBL4278285,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)N3Cc4ccccc4C3)cc2)cc1,92.0,,,
2317742,94.0,%,Efficacy,CHEMBL4278291,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)cc1,94.0,,,
2318807,97.0,%,Efficacy,CHEMBL4279356,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)Nc3cc(C#N)ccn3)cc2)cc1,97.0,,,
2318871,93.0,%,Efficacy,CHEMBL4279420,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)(C)C(=O)Nc3ccccc3)cc2)cc1,93.0,,,
