molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4
2356729,-129.0,%,Inhibition,CHEMBL4449720,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCc1ncccn1,-129.0,,,,
2364400,87.0,%,Inhibition,CHEMBL4457391,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1OCC1CC1,87.0,,,,
2366208,87.0,%,Inhibition,CHEMBL4459199,COc1nc2ccc(C(O)(c3cnc(C)n3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,87.0,,,,
2370000,27.0,%,Inhibition,CHEMBL4462991,O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3ccncc32)cc1,27.0,,,,
2373040,68.0,%,Inhibition,CHEMBL4466031,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC1CCS(=O)(=O)CC1,68.0,,,,
2373281,101.0,%,Inhibition,CHEMBL4466272,COc1nc2ccc([C@](O)(c3ccnc(C(F)(F)F)c3)c3cnc(C)n3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,101.0,,,,
2375597,97.0,%,Inhibition,CHEMBL4468588,COc1nc2ccc(C(O)(c3cnnn3C)c3cnc(C)n3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,91.0,103.0,,,
2378945,54.0,%,Inhibition,CHEMBL4471936,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CN1CCC(F)(F)CC1,54.0,,,,
2380682,90.0,%,Inhibition,CHEMBL4473673,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC(C)C,90.0,,,,
2382250,100.0,%,Inhibition,CHEMBL4475244,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC(F)(F)F,100.0,,,,
2389343,95.0,%,Inhibition,CHEMBL4517932,COc1nc2ccc(C(O)(c3cnnn3C)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,95.0,,,,
2393110,98.0,%,Inhibition,CHEMBL4521699,COc1nc2ccc(C(O)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1CC1CC1,98.0,,,,
2403158,94.0,%,Inhibition,CHEMBL4532727,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)C3CN(C(C)=O)C3)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,94.0,,,,
2414366,94.5,%,Inhibition,CHEMBL4543938,COc1nc2ccc(C(O)(c3ccnc(C(F)(F)F)c3)c3cnnn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1,89.0,100.0,,,
