coms_canonical_smiles,act_median_expert_0,class_activity_median_expert_1000_0
CCC1CCNc2cc3c(cc21)c(C(F)(F)F)cc(=O)n3C,20.0,1
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,212.0,1
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,9700.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cccc(F)c1)Oc1ccccc1-3,795.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)cc1)Oc1ccccc1-3,1550.0,0
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,3100.0,0
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,34800.0,0
C=CCc1ccc(O)c(OC)c1,19027.305,0
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,10000.0,0
C=C1CC[C@@H](Br)C(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,238.0,1
C=C1CC[C@@H](Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,449.0,1
C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])cc1,250.0,1
C=C1CCCC(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,377.0,1
O=c1c(O)c(-c2ccccc2)oc2ccccc12,23500.0,0
CC/C(C)=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,250.0,1
CC(C)=C/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,1000.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1ccccc1-3,1062.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)C(=C1SCCCS1)Oc1ccc(F)cc1-3,180.0,1
CC(=O)C[C@]1(C(C)=O)CC[C@H]2C3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,6.1,1
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/Br)Oc1ccc(F)cc1-3,250.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)COc1ccc(F)cc1-3,1248.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)COc1ccc(Br)cc1-3,395.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)COc1ccc([N+](=O)[O-])cc1-3,60.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)COc1c(F)cc(Br)cc1-3,90.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)COc1c(F)cc(C#N)cc1-3,60.0,1
CC1CC(C)(C)Nc2ccc3c(c21)COc1c(F)cc(F)cc1-3,147.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)COc1ccc(Cl)cc1-3,788.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)COc1c(F)cc(F)cc1-3,644.0,1
CC1CC(C)(C)Nc2ccc3c(c21)COc1ccc([N+](=O)[O-])cc1-3,63.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)COc1c(F)cc(Cl)cc1-3,428.0,1
C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,128.0,1
N#Cc1cccc(-c2ccc3c(c2)C2(CCCCC2)C(=O)N3)c1,1000.0,0
O=C1CC(c2ccccc2O)Oc2ccccc21,3700.0,0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,5900.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cccc(Cl)c1)Oc1ccccc1-3,253.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cc(Cl)cc(Cl)c1)Oc1ccccc1-3,1089.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccccc1)Oc1ccccc1-3,745.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(C)cc1)Oc1ccccc1-3,1239.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cccc(C(F)(F)F)c1)Oc1ccccc1-3,315.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)c(F)c1)Oc1ccccc1-3,2205.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cccc(Br)c1)Oc1ccccc1-3,401.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1cc(C)cc(Br)c1)Oc1ccccc1-3,1236.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Br)cc1)Oc1ccccc1-3,481.0,1
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(C)c(F)c1)Oc1ccccc1-3,1220.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)c(C)c1)Oc1ccccc1-3,1426.0,0
CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)c(Cl)c1)Oc1ccccc1-3,946.0,1
CC(=O)CCc1ccc(O)cc1,251594.32,0
CC1=CC(C)(C)Nc2cc3nc(Cl)cc(C(F)(F)F)c3cc21,30.0,1
CC1=CC(C)(C)Nc2cc3nc(F)cc(C(F)(F)F)c3cc21,31.0,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(Cl)nc3cc2N1,30.0,1
Cc1c2c(cc3c(C(F)(F)F)cc(Cl)nc13)C(C)CC(C)(C)N2,675.0,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(Br)nc3cc2N1,72.0,1
