molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1
2274888,3.705,mix,K,CHEMBL4171857,CCS(=O)(=O)c1ccc(CC(=O)Nc2cnc(OCc3ccccc3)c(Cl)c2)cc1,1.31,6.1
2278336,3.58,mix,K,CHEMBL4175305,CCS(=O)(=O)c1ccc(CC(=O)Nc2cnc(O[C@@H](C)c3ccccc3)c(Cl)c2)cc1,1.88,5.28
