molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4
2135651,33.0,nM,Kd,CHEMBL3926280,OC(c1cccnc1)(c1cccc(Cl)c1)c1ccc2nc(Cl)c(Cc3cccs3)c(Cl)c2c1,33.0,,,,
2136381,8.4,nM,Kd,CHEMBL3927010,COc1nc2c(C)cc(C(O)(c3cncn3C)c3cncn3C)cc2c(Cl)c1Cc1ccc(S(C)(=O)=O)cc1,8.4,,,,
2136537,4.0,nM,Kd,CHEMBL3927166,Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,4.0,,,,
2136672,176.33333333333334,nM,Kd,CHEMBL3927301,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cncn2)cc1,16.0,63.0,450.0,,
2136881,430.0,nM,Kd,CHEMBL3927510,CC(C)N(c1ccccc1)c1c(Cl)nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c1Cl,430.0,,,,
2137564,30700.0,nM,Kd,CHEMBL3928193,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(O)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,3500.0,7600.0,81000.0,,
2138114,40.0,nM,Kd,CHEMBL3928743,COc1nc2ccc(C(O)(c3cccnc3)c3cccc(Cl)c3)cc2c(Cl)c1Cc1ccc(F)cc1,40.0,,,,
2138728,0.017,nM,Kd,CHEMBL3929357,COc1nc2ccc(C(O)(c3cnc(C)n3C)c3cnc(C)n3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,0.017,,,,
2139601,1100.0,nM,Kd,CHEMBL3930230,CCCCC(O)(c1ccc2nc(Cl)c(-c3ccccc3)c(Cl)c2c1)c1cncn1C,1100.0,,,,
2141083,2.1933333333333334,nM,Kd,CHEMBL3931712,CCc1nc2ccc(C(O)(c3cnnn3C)C3CN(S(C)(=O)=O)C3)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,0.23,0.25,6.1,,
2142445,4.2,nM,Kd,CHEMBL3933074,Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(C#N)c(Oc3ccc(Cl)cc3)c(C(F)(F)F)c2c1,4.2,,,,
2143020,37.0,nM,Kd,CHEMBL3933649,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(S(C)(=O)=O)cc1,37.0,,,,
2143868,32.0,nM,Kd,CHEMBL3934497,CCOc1nc2ccc(C(O)(c3cccnc3)c3cccc(Cl)c3)cc2c(Cl)c1N(C)c1ccccc1,32.0,,,,
2144261,40.666666666666664,nM,Kd,CHEMBL3934890,CCN(CC)c1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Oc1ccc(F)cc1,8.0,33.0,81.0,,
2144878,150.33333333333334,nM,Kd,CHEMBL3935507,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1cc2ccccc2s1,11.0,40.0,400.0,,
2146088,6.6,nM,Kd,CHEMBL3936717,CCOc1nc2ccc(C(O)(c3cncs3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,6.6,,,,
2146607,34.233333333333334,nM,Kd,CHEMBL3937236,COc1nc2c(C)cc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,4.8,4.9,93.0,,
2149796,5.7,nM,Kd,CHEMBL3940425,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(C#N)c(Oc3ccccc3)c(C#N)c2c1,5.7,,,,
2151782,132.0,nM,Kd,CHEMBL3942411,CCN(CC)c1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Oc1ccccc1,17.0,59.0,320.0,,
2152184,193.0,nM,Kd,CHEMBL3942813,C#CC(O)(c1ccc2nc(OC)c(Cc3ccc(C(F)(F)F)cc3)c(Cl)c2c1)C1CN(C(C)=O)C1,49.0,230.0,300.0,,
2153834,3.9,nM,Kd,CHEMBL3944463,COc1nc2ccc(C(O)(c3ccc(F)cc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,3.9,,,,
2154458,390.0,nM,Kd,CHEMBL3945087,CCC(O)(c1ccc2nc(OC)c(Cc3ccc(C(F)(F)F)cc3)c(Cl)c2c1)C1CN(C(=O)OC(C)(C)C)C1,390.0,,,,
2154957,17.0,nM,Kd,CHEMBL3945586,OC(c1cccnc1)(c1cccc(Cl)c1)c1ccc2nc(Cl)c(Cc3ccc(Cl)cc3)c(Cl)c2c1,17.0,,,,
2156603,34.65,nM,Kd,CHEMBL3947232,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(S(C)(=O)=O)cc1,5.3,64.0,,,
2156857,170.0,nM,Kd,CHEMBL3947486,CCN(CC)c1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(C(F)(F)F)c1Oc1ccccc1,170.0,,,,
2158747,17.366666666666667,nM,Kd,CHEMBL3949376,COc1nc2ccc(C(O)(c3ccc(C#N)cc3)c3cncn3C)cc2c(C#N)c1Cc1ccc(C(F)(F)F)cc1,1.9,2.2,48.0,,
2158921,85.0,nM,Kd,CHEMBL3949550,Cc1cc(C(O)(c2ccc(Cl)cc2)c2cncn2C)cc2c(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)nc12,85.0,,,,
2159208,23.0,nM,Kd,CHEMBL3949837,CN(c1ccccc1)c1c(Cl)nc2ccc(C(O)(c3cccnc3)c3cccc(Cl)c3)cc2c1Cl,23.0,,,,
2159372,72.0,nM,Kd,CHEMBL3950001,CCN(CC)c1nc2ccc(C(O)(c3ccc(OC)nc3)c3cncn3C)cc2c(C(F)(F)F)c1Oc1ccc(Cl)cc1,72.0,,,,
2159559,32.0,nM,Kd,CHEMBL3950188,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(C#N)c(Oc3ccccc3)c(Cl)c2c1,32.0,,,,
2159925,220.0,nM,Kd,CHEMBL3950554,COc1nc2ccc(C(O)(c3ccc(N(C)C)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,220.0,,,,
2160926,294.6666666666667,nM,Kd,CHEMBL3951555,COc1nc2ccc(C(C)(O)c3cncn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,54.0,290.0,540.0,,
2161448,5.0,nM,Kd,CHEMBL3952077,COc1nc2ccc(C(O)(c3cnnn3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,5.0,,,,
2161711,13.466666666666667,nM,Kd,CHEMBL3952340,Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(N3CCC3)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,2.1,8.3,30.0,,
2161980,1700.0,nM,Kd,CHEMBL3952609,COc1c(Oc2ccccc2)c(Cl)nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc12,1700.0,,,,
2162763,250.0,nM,Kd,CHEMBL3953392,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(OC)c1Cc1ccc(-n2cccn2)cc1,250.0,,,,
2162952,2.2,nM,Kd,CHEMBL3953581,Cn1cncc1C(O)(c1ccc2nc(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1)c1cncn1C,2.2,,,,
2164126,75.0,nM,Kd,CHEMBL3954755,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,75.0,,,,
2164359,1150.65,nM,Kd,CHEMBL3954988,COc1nc2ccc(C(N)(c3ccc(C)nc3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,1.3,2300.0,,,
2164570,37.0,nM,Kd,CHEMBL3955199,OC(c1cccnc1)(c1cccc(Cl)c1)c1ccc2nc(Cl)c(Nc3ccccc3)c(Cl)c2c1,37.0,,,,
2165182,0.29,nM,Kd,CHEMBL3955811,COc1nc2c(C)cc(C(O)(c3cncn3C)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,0.29,,,,
2165196,270.0,nM,Kd,CHEMBL3955825,CCN(CC)c1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Nc1ccccc1,270.0,,,,
2165346,16.666666666666668,nM,Kd,CHEMBL3955975,CCN(CC)c1nc2ccc(C(O)(c3ccc(OC)nc3)c3cncn3C)cc2c(Cl)c1Oc1ccccc1,12.0,26.0,,,
2165893,20.0,nM,Kd,CHEMBL3956522,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)cc3)c3cccnc3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,20.0,,,,
2166360,16.966666666666665,nM,Kd,CHEMBL3956989,CCOc1nc2ccc(C(O)(c3ccc(OC)nc3)c3cncn3C)cc2c(Cl)c1Oc1ccccc1,3.4,8.5,39.0,,
2166688,83.0,nM,Kd,CHEMBL3957317,C#CC(O)(c1ccc2nc(OC)c(Cc3ccc(C(F)(F)F)cc3)c(Cl)c2c1)c1cnc(C)n1C,59.0,60.0,130.0,,
2166741,19.25,nM,Kd,CHEMBL3957370,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(C#N)c1Cc1ccc(-n2cccn2)cc1,4.5,34.0,,,
2166959,235.23333333333335,nM,Kd,CHEMBL3957588,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,9.2,20.0,43.0,520.0,810.0
2167518,320.0,nM,Kd,CHEMBL3958147,Cc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(C)c1Cc1ccccc1,320.0,,,,
2167886,5700.0,nM,Kd,CHEMBL3958515,CCOc1nc2ccc(C(O)(c3cccnc3)c3cccc(Cl)c3)cc2c(OCC)c1N(C)c1ccccc1,5700.0,,,,
2168433,72.1,nM,Kd,CHEMBL3959062,Cc1cc(C(O)(c2ccc(C(F)(F)F)nc2)c2cncn2C)cc2c(C#N)c(Cc3ccc(-n4cccn4)cc3)c(C#N)nc12,4.2,140.0,,,
2168715,15.0,nM,Kd,CHEMBL3959344,COc1nc2ccc(C(O)(c3cccnc3)c3ccc(Cl)c(Cl)c3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,15.0,,,,
2169000,6.1066666666666665,nM,Kd,CHEMBL3959629,Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(N3CCC3)c(Oc3ccc(C#N)cc3)c(Cl)c2c1,0.72,3.6,14.0,,
2169923,7.2,nM,Kd,CHEMBL3960552,CCN(CC)c1nc2ccc(C(O)(c3cncs3)c3cncn3C)cc2c(Cl)c1Oc1ccccc1,7.2,,,,
2170950,65.8,nM,Kd,CHEMBL3961579,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(C#N)c(Cc3ccc(-n4cccn4)cc3)c(C#N)c2c1,1.6,130.0,,,
2171464,310.0,nM,Kd,CHEMBL3962093,CCN(C)c1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,310.0,,,,
2171770,161.0,nM,Kd,CHEMBL3962399,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Oc1ccccc1,33.0,150.0,300.0,,
2172384,16.0,nM,Kd,CHEMBL3963013,COc1ccc(Cc2c(Cl)nc3ccc(C(O)(c4ccc(Cl)cc4)c4cncn4C)cc3c2Cl)cc1,16.0,,,,
2172610,11150.0,nM,Kd,CHEMBL3963239,CCN(CC)c1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(C#N)c1Cc1ccc(-n2cccn2)cc1,1300.0,21000.0,,,
2172811,0.63,nM,Kd,CHEMBL3963440,COc1nc2ccc(C(O)(c3oc(C)nc3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,0.63,,,,
2172938,1100.0,nM,Kd,CHEMBL3963567,CNC(=O)c1nc2ccc(C(O)(c3ccc(F)cc3)c3cncn3C)cc2c(C(F)(F)F)c1Cc1ccccc1,1100.0,,,,
2173017,68.0,nM,Kd,CHEMBL3963646,OC(c1ccc(Cl)cc1)(c1cccnc1)c1ccc2nc(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,68.0,,,,
2174051,34.86,nM,Kd,CHEMBL3964680,COc1nc2ccc(C(O)(c3ccccc3)C3CCN(C(C)=O)CC3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,3.6,4.7,12.0,77.0,
2174212,138.95,nM,Kd,CHEMBL3964841,Cc1cc(C(O)(c2ccc(C#N)cc2)c2cncn2C)cc2c(C#N)c(Cc3ccc(-n4cccn4)cc3)c(C#N)nc12,7.9,270.0,,,
2174680,99.85,nM,Kd,CHEMBL3965309,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(C#N)cc1,6.2,37.0,350.0,,
2175458,50.0,nM,Kd,CHEMBL3966087,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(C#N)c1Cc1ccc(-n2cccn2)cc1,50.0,,,,
2176425,22.0,nM,Kd,CHEMBL3967054,OC(c1ccc(F)cc1)(c1cccnc1)c1ccc2nc(Cl)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,22.0,,,,
2176975,360.0,nM,Kd,CHEMBL3967604,COc1nc2ccc(C(O)(c3ccc(N(C)C)cc3)c3cccnc3)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,360.0,,,,
