molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0
1958124,150.0,%,max activation,CHEMBL3605079,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cc(Cl)ccc3Cl)c(-c3ccccc3)s2)cc1,150.0
1958125,150.0,%,max activation,CHEMBL3605080,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(-c3ccccc3)s2)cc1,150.0
1958128,33.0,%,max activation,CHEMBL3605083,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(Oc3ccccc3OC)s2)cc1,33.0
