molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3
1960275,101.0,%,Imax,CHEMBL3609412,CS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(Cl)cc3OC(F)(F)F)c(F)c2)cc1,101.0,,,
1960276,92.0,%,Imax,CHEMBL3609413,Cc1cc(NC(=O)Cc2ccc(S(C)(=O)=O)cc2)ccc1-c1ccc(Cl)cc1OC(F)(F)F,92.0,,,
1960277,98.0,%,Imax,CHEMBL3609414,CS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(Cl)cc3OC(F)(F)F)c(Cl)c2)cc1,98.0,,,
1960278,99.0,%,Imax,CHEMBL3609415,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(Cl)cc3OC(F)(F)F)c(Cl)c2)cc1,99.0,,,
2082448,57.5,%,Imax,CHEMBL3797260,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(F)cc2F)c2cccc(C(F)(F)F)c2)cc1,54.0,61.0,,
2082449,61.5,%,Imax,CHEMBL3798394,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2cccc(C(F)(F)F)c2)cc1,35.0,88.0,,
2082450,51.5,%,Imax,CHEMBL3797522,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2nc(C)cs2)c2cccc(C(F)(F)F)c2)cc1,26.0,77.0,,
2082451,37.0,%,Imax,CHEMBL3797861,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(OCc3ccccc3)cc2)c2cccc(C(F)(F)F)c2)cc1,37.0,,,
2082452,69.0,%,Imax,CHEMBL3799931,Cc1ccc(S(=O)(=O)N(CC(=O)NCc2ccc(F)cc2)c2cccc(C(F)(F)F)c2)cc1,64.0,74.0,,
2082453,76.0,%,Imax,CHEMBL3797484,CC(=O)N1CCN(C(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)CC1,67.0,85.0,,
2082454,27.0,%,Imax,CHEMBL3798965,Cc1ccc(S(=O)(=O)N(CC(=O)NC2CCCCC2)c2cccc(C(F)(F)F)c2)cc1,27.0,,,
2082456,86.0,%,Imax,CHEMBL3798836,Cc1ccc(S(=O)(=O)N(CC(=O)NCc2ccc(O)cc2)c2cccc(C(F)(F)F)c2)cc1,74.0,98.0,,
2082457,83.0,%,Imax,CHEMBL3799866,Cc1ccc(S(=O)(=O)N(CC(=O)NCc2ccncc2)c2cccc(C(F)(F)F)c2)cc1,67.0,99.0,,
