,COMPOUND
1266,Compound(2914547)
1267,Compound(1181320)
1268,Compound(711978)
1269,Compound(45488361)
1270,Compound(416148)
1271,Compound(45488362)
1272,Compound(3392210)
1273,Compound(4324719)
1274,Compound(1979506)
1275,Compound(343548)
1276,Compound(2150362)
1277,Compound(874817)
1278,Compound(45488364)
1279,Compound(2865728)
1280,Compound(45488365)
1281,Compound(15990040)
1282,Compound(45488366)
1283,Compound(45488367)
1284,Compound(45488368)
1285,Compound(732311)
1286,Compound(11958752)
1287,Compound(4130213)
1288,Compound(5308471)
1289,Compound(16809956)
1290,Compound(44656371)
1291,Compound(45488369)
1292,Compound(3100294)
1293,Compound(697231)
1294,Compound(889658)
1295,Compound(1119220)
1296,Compound(3976968)
1297,Compound(5030658)
1298,Compound(3129794)
1299,Compound(2853195)
1300,Compound(699610)
1301,Compound(3237215)
1302,Compound(21177692)
1303,Compound(933160)
1304,Compound(3902958)
1305,Compound(4534668)
1306,Compound(24762052)
1307,Compound(45488370)
1308,Compound(2198069)
1309,Compound(740409)
1310,Compound(3101122)
1311,Compound(5203158)
1312,Compound(2826988)
1313,Compound(4232655)
1314,Compound(6831558)
1315,Compound(2362458)
1316,Compound(2884275)
1317,Compound(1104256)
1318,Compound(4548201)
1319,Compound(15993463)
1320,Compound(45488371)
1321,Compound(45488372)
1322,Compound(2848245)
1323,Compound(4620689)
1324,Compound(865237)
1325,Compound(4176326)
1326,Compound(2013677)
1327,Compound(5767634)
1328,Compound(5767634)
1329,Compound(45488373)
1330,Compound(3119518)
1331,Compound(5110416)
1332,Compound(45488374)
1333,Compound(43816783)
1334,Compound(3141524)
1335,Compound(4422300)
1336,Compound(241241)
1337,Compound(45488375)
1338,Compound(45488376)
1339,Compound(45488377)
1340,Compound(2821965)
1341,Compound(1099672)
1342,Compound(4372298)
1343,Compound(2269897)
1344,Compound(16026739)
1345,Compound(680578)
1346,Compound(16481968)
1347,Compound(1331213)
1348,Compound(612517)
1349,Compound(4557409)
1350,Compound(45488378)
1351,Compound(3330063)
1352,Compound(45488379)
1353,Compound(4053330)
1354,Compound(45488380)
1355,Compound(45488381)
1356,Compound(45488382)
1357,Compound(1087659)
1358,Compound(16670282)
1359,Compound(16013725)
1360,Compound(45488383)
1361,Compound(3110698)
1362,Compound(3100621)
1363,Compound(45488384)
1364,Compound(2725968)
1365,Compound(45488385)
1366,Compound(2962002)
1367,Compound(614541)
1368,Compound(45488386)
1369,Compound(2869280)
1370,Compound(45237344)
1371,Compound(99599)
1372,Compound(4193490)
1373,Compound(738354)
1374,Compound(26335103)
1375,Compound(2906864)
1376,Compound(22423908)
1377,Compound(2899073)
1378,Compound(45488387)
1379,Compound(819048)
1380,Compound(45488388)
1381,Compound(22641699)
1382,Compound(3678088)
1383,Compound(16669522)
1384,Compound(3101115)
1385,Compound(866355)
1386,Compound(45488389)
1387,Compound(4532371)
1388,Compound(4173263)
1389,Compound(6489290)
1390,Compound(1555406)
1391,Compound(1888437)
1392,Compound(4651461)
1393,Compound(45181503)
1394,Compound(1381835)
1395,Compound(3179463)
1396,Compound(45488390)
1397,Compound(45488391)
1398,Compound(2926896)
1399,Compound(2926896)
1400,Compound(16033594)
1401,Compound(4045754)
1402,Compound(2202562)
1403,Compound(1182002)
1404,Compound(2318196)
1405,Compound(3739850)
1406,Compound(2844927)
1407,Compound(2842888)
1408,Compound(3138620)
1409,Compound(1167735)
1410,Compound(768060)
1411,Compound(45488393)
1412,Compound(5524008)
1413,Compound(3623027)
1414,Compound(4521684)
1415,Compound(5289714)
1416,Compound(45488394)
1417,Compound(22333954)
1418,Compound(3095596)
1419,Compound(45193818)
1420,Compound(1001313)
1421,Compound(3839342)
1422,Compound(3178336)
1423,Compound(16670549)
1424,Compound(3990078)
1425,Compound(4390753)
1426,Compound(374829)
1427,Compound(135920939)
1428,Compound(824422)
1429,Compound(45488395)
1430,Compound(759628)
1431,Compound(15998896)
1432,Compound(3096153)
1433,Compound(24812723)
1434,Compound(16670191)
1435,Compound(45488396)
1436,Compound(819039)
1437,Compound(45488397)
1438,Compound(135971340)
1439,Compound(9541634)
1440,Compound(20860780)
1441,Compound(1489665)
1442,Compound(3278169)
1443,Compound(45488399)
1444,Compound(52940521)
1445,Compound(4625323)
1446,Compound(2833385)
1447,Compound(3105397)
1448,Compound(2855219)
1449,Compound(4392761)
1450,Compound(3091552)
1451,Compound(2768120)
1452,Compound(17387436)
1453,Compound(2800610)
1454,Compound(2222926)
1455,Compound(16192108)
1456,Compound(427456)
1457,Compound(6602964)
1458,Compound(765413)
1459,Compound(11197100)
1460,Compound(17325420)
1461,Compound(4216145)
1462,Compound(45488400)
1463,Compound(3092381)
1464,Compound(3287370)
1465,Compound(3106154)
1466,Compound(1085246)
1467,Compound(1757802)
1468,Compound(4574459)
1469,Compound(45203708)
1470,Compound(873754)
1471,Compound(45488401)
1472,Compound(2792152)
1473,Compound(3500419)
1474,Compound(42724715)
1475,Compound(2799509)
1476,Compound(2228390)
1477,Compound(3793564)
1478,Compound(21176270)
1479,Compound(135498315)
1480,Compound(781158)
1481,Compound(658464)
1482,Compound(3735374)
1483,Compound(1899935)
1484,Compound(45183085)
1485,Compound(911689)
1486,Compound(3132586)
1487,Compound(4618151)
1488,Compound(45488402)
1489,Compound(2898142)
1490,Compound(192526)
1491,Compound(3105396)
1492,Compound(728866)
1493,Compound(1400282)
1494,Compound(3103716)
1495,Compound(135971341)
1496,Compound(4610370)
1497,Compound(6615384)
1498,Compound(24833986)
1499,Compound(416191)
1500,Compound(805487)
1501,Compound(16034140)
1502,Compound(16195161)
1503,Compound(45488405)
1504,Compound(44655815)
1505,Compound(4274077)
1506,Compound(1386569)
1507,Compound(135493038)
1508,Compound(24746845)
1509,Compound(45488406)
1510,Compound(4613636)
1511,Compound(45244515)
1512,Compound(3568798)
1513,Compound(1423323)
1514,Compound(4368508)
1515,Compound(2936822)
1516,Compound(10858497)
1517,Compound(135971342)
1518,Compound(4053667)
1519,Compound(2790585)
1520,Compound(2834418)
1521,Compound(135971343)
1522,Compound(3172089)
1523,Compound(13182483)
1524,Compound(2829019)
1525,Compound(2885865)
1526,Compound(937191)
1527,Compound(4557262)
1528,Compound(2935017)
1529,Compound(20866332)
1530,Compound(2747370)
1531,Compound(1190556)
1532,Compound(799377)
1533,Compound(16187346)
1534,Compound(3240248)
1535,Compound(45230525)
1536,Compound(3192526)
1537,Compound(416383)
1538,Compound(3870683)
1539,Compound(6602912)
1540,Compound(45171931)
1541,Compound(706196)
1542,Compound(1931622)
1543,Compound(5111713)
1544,Compound(2827013)
1545,Compound(2851451)
1546,Compound(4913630)
1547,Compound(45488408)
1548,Compound(45488410)
1549,Compound(5752846)
1550,Compound(1387333)
1551,Compound(24791211)
1552,Compound(3185900)
1553,Compound(972336)
1554,Compound(3939721)
1555,Compound(2953038)
1556,Compound(54580914)
1557,Compound(797650)
1558,Compound(2864282)
1559,Compound(729222)
1560,Compound(45251296)
1561,Compound(45488412)
1562,Compound(15667903)
1563,Compound(2871913)
1564,Compound(5150023)
1565,Compound(1821427)
1566,Compound(2864181)
1567,Compound(740401)
1568,Compound(42743621)
1569,Compound(2847463)
1570,Compound(4564111)
1571,Compound(2863395)
1572,Compound(2844462)
1573,Compound(2848609)
1574,Compound(2832426)
1575,Compound(24761552)
1576,Compound(24761552)
1577,Compound(3122463)
1578,Compound(42743634)
1579,Compound(3171343)
1580,Compound(45488414)
1581,Compound(2832141)
1582,Compound(4434471)
1583,Compound(3090133)
1584,Compound(2847266)
1585,Compound(3159270)
1586,Compound(2894128)
1587,Compound(45488415)
1588,Compound(3239482)
1589,Compound(2836226)
1590,Compound(2885075)
1591,Compound(4437530)
1592,Compound(3129754)
1593,Compound(2818582)
1594,Compound(6738065)
1595,Compound(415089)
1596,Compound(1327632)
1597,Compound(3141903)
1598,Compound(20887595)
1599,Compound(4325210)
1600,Compound(45488416)
1601,Compound(1368467)
1602,Compound(3486689)
1603,Compound(3692602)
1604,Compound(45488417)
1605,Compound(2836182)
1606,Compound(3339005)
1607,Compound(16800907)
1608,Compound(3115504)
1609,Compound(23616896)
1610,Compound(45488418)
1611,Compound(45220165)
1612,Compound(6485674)
1613,Compound(135971344)
1614,Compound(3136734)
1615,Compound(24792460)
1616,Compound(3114254)
1617,Compound(45167219)
1618,Compound(915953)
1619,Compound(3188559)
1620,Compound(45488419)
1621,Compound(760816)
1622,Compound(3104056)
1623,Compound(22549260)
1624,Compound(730936)
1625,Compound(1204378)
1626,Compound(1073334)
1627,Compound(5143831)
1628,Compound(3509393)
1629,Compound(2199)
1630,Compound(1067653)
1631,Compound(5997911)
1632,Compound(5307801)
1633,Compound(209740)
1634,Compound(5240577)
1635,Compound(2910602)
1636,Compound(45488420)
1637,Compound(4609641)
1638,Compound(2894949)
1639,Compound(4659738)
1640,Compound(45488421)
1641,Compound(9549410)
1642,Compound(45488423)
1643,Compound(649157)
1644,Compound(1187221)
1645,Compound(5488995)
1646,Compound(5488995)
1647,Compound(45488424)
1648,Compound(1250209)
1649,Compound(3107650)
1650,Compound(23602296)
1651,Compound(12166995)
1652,Compound(914807)
1653,Compound(692544)
1654,Compound(2859889)
1655,Compound(2813429)
1656,Compound(25396107)
1657,Compound(1489415)
1658,Compound(3108037)
1659,Compound(16813486)
1660,Compound(3109791)
1661,Compound(1397901)
1662,Compound(2863744)
1663,Compound(3439836)
1664,Compound(2845068)
1665,Compound(71717187)
1666,Compound(3667988)
1667,Compound(876820)
1668,Compound(2834440)
1669,Compound(3187860)
1670,Compound(4577258)
1671,Compound(2836199)
1672,Compound(4362082)
1673,Compound(713715)
1674,Compound(4137406)
1675,Compound(4651694)
1676,Compound(2812321)
1677,Compound(3322776)
1678,Compound(1878549)
1679,Compound(4293589)
1680,Compound(728907)
1681,Compound(15869192)
1682,Compound(2150897)
1683,Compound(705890)
1684,Compound(4129786)
1685,Compound(135410428)
1686,Compound(45488427)
1687,Compound(4252798)
1688,Compound(24761574)
1689,Compound(759333)
1690,Compound(5771050)
1691,Compound(45488428)
1692,Compound(16239771)
1693,Compound(45488429)
1694,Compound(45488430)
1695,Compound(4281131)
1696,Compound(3973065)
1697,Compound(135971345)
1698,Compound(44175270)
1699,Compound(950743)
1700,Compound(2895161)
1701,Compound(5308815)
1702,Compound(3713687)
1703,Compound(45488432)
1704,Compound(45488432)
1705,Compound(2858776)
1706,Compound(45488433)
1707,Compound(1938796)
1708,Compound(52944173)
1709,Compound(1384103)
1710,Compound(1414411)
1711,Compound(783303)
1712,Compound(3671389)
1713,Compound(45488434)
1714,Compound(5756428)
1715,Compound(2914378)
1716,Compound(45488435)
1717,Compound(45488436)
1718,Compound(1295876)
1719,Compound(45023420)
1720,Compound(731738)
1721,Compound(3159268)
1722,Compound(45488439)
1723,Compound(2802120)
1724,Compound(3090297)
1725,Compound(674116)
1726,Compound(122669)
1727,Compound(45488440)
1728,Compound(44171275)
1729,Compound(2797445)
1730,Compound(135410442)
1731,Compound(826140)
1732,Compound(2171225)
1733,Compound(16475153)
1734,Compound(3419510)
1735,Compound(11958718)
1736,Compound(42743651)
1737,Compound(135971346)
1738,Compound(54580916)
1739,Compound(1077227)
1740,Compound(4242282)
1741,Compound(1388836)
1742,Compound(2923731)
1743,Compound(135971347)
1744,Compound(3246775)
1745,Compound(3503392)
1746,Compound(6624104)
1747,Compound(22422718)
1748,Compound(45488444)
1749,Compound(20889639)
1750,Compound(42720881)
1751,Compound(2969089)
1752,Compound(54583909)
1753,Compound(2883643)
1754,Compound(6602963)
1755,Compound(16398976)
1756,Compound(2938657)
1757,Compound(44170246)
1758,Compound(775665)
1759,Compound(6615734)
1760,Compound(24020278)
1761,Compound(42743670)
1762,Compound(2728441)
1763,Compound(45488446)
1764,Compound(3142366)
1765,Compound(661700)
1766,Compound(3749840)
1767,Compound(43813852)
1768,Compound(2874606)
1769,Compound(45488447)
1770,Compound(45488448)
1771,Compound(2808856)
1772,Compound(4663622)
1773,Compound(15099239)
1774,Compound(4549404)
1775,Compound(45488449)
1776,Compound(3133836)
1777,Compound(2775472)
1778,Compound(4859704)
1779,Compound(770379)
1780,Compound(54728779)
1781,Compound(2867462)
1782,Compound(45488450)
1783,Compound(45488451)
1784,Compound(2850112)
1785,Compound(45488452)
1786,Compound(3116985)
1787,Compound(135511550)
1788,Compound(1205947)
1789,Compound(3219137)
1790,Compound(2829152)
1791,Compound(3111137)
1792,Compound(2847809)
1793,Compound(4571213)
1794,Compound(135418010)
1795,Compound(11890598)
1796,Compound(11890598)
1797,Compound(2874418)
1798,Compound(42724193)
1799,Compound(45488453)
1800,Compound(6544565)
1801,Compound(1179668)
1802,Compound(6712509)
1803,Compound(3098611)
1804,Compound(2055247)
1805,Compound(2914405)
1806,Compound(416034)
1807,Compound(1080944)
1808,Compound(135971348)
1809,Compound(45488455)
1810,Compound(45488456)
1811,Compound(45488457)
1812,Compound(3119182)
1813,Compound(22431832)
1814,Compound(45488458)
1815,Compound(3551779)
1816,Compound(1255184)
1817,Compound(3132433)
1818,Compound(45488459)
1819,Compound(4103741)
1820,Compound(45488460)
1821,Compound(2946841)
1822,Compound(45488461)
1823,Compound(16033596)
1824,Compound(2865851)
1825,Compound(52946621)
1826,Compound(941580)
1827,Compound(3519584)
1828,Compound(45488462)
1829,Compound(814552)
1830,Compound(45488463)
1831,Compound(3626082)
1832,Compound(45488464)
1833,Compound(72812)
1834,Compound(45488465)
1835,Compound(826058)
1836,Compound(3127328)
1837,Compound(2851140)
1838,Compound(45488466)
1839,Compound(45488467)
1840,Compound(13295827)
1841,Compound(135441618)
1842,Compound(5292129)
1843,Compound(2837687)
1844,Compound(45488468)
1845,Compound(45488469)
1846,Compound(22333872)
1847,Compound(45488470)
1848,Compound(3095103)
1849,Compound(2391700)
1850,Compound(3149664)
1851,Compound(3152045)
1852,Compound(2177096)
1853,Compound(3093649)
1854,Compound(5781405)
1855,Compound(45488471)
1856,Compound(5086795)
1857,Compound(881551)
1858,Compound(4165800)
1859,Compound(23992485)
1860,Compound(2253313)
1861,Compound(2879421)
1862,Compound(45488473)
1863,Compound(1459215)
1864,Compound(4655174)
1865,Compound(5710980)
1866,Compound(44171223)
1867,Compound(45488474)
1868,Compound(23605633)
1869,Compound(3335917)
1870,Compound(45488476)
1871,Compound(5717511)
1872,Compound(45488477)
1873,Compound(4614056)
1874,Compound(1247119)
1875,Compound(4939312)
1876,Compound(42724195)
1877,Compound(3125027)
1878,Compound(45488478)
1879,Compound(1224012)
1880,Compound(135440409)
1881,Compound(3406365)
1882,Compound(3138205)
1883,Compound(45488479)
1884,Compound(199862)
1885,Compound(193196)
1886,Compound(5780002)
1887,Compound(52942999)
1888,Compound(45488480)
1889,Compound(45488481)
1890,Compound(2303607)
1891,Compound(2909142)
1892,Compound(45488483)
1893,Compound(1389656)
1894,Compound(45488484)
1895,Compound(3098392)
1896,Compound(45488485)
1897,Compound(45488486)
1898,Compound(4110693)
1899,Compound(857739)
1900,Compound(45488487)
1901,Compound(45488488)
1902,Compound(2978756)
1903,Compound(5291475)
1904,Compound(3743697)
1905,Compound(610612)
1906,Compound(45488489)
1907,Compound(45488490)
1908,Compound(135514385)
1909,Compound(3695870)
1910,Compound(746189)
1911,Compound(45129079)
1912,Compound(3425111)
1913,Compound(555873)
1914,Compound(17155322)
1915,Compound(16811825)
1916,Compound(45488492)
1917,Compound(767898)
1918,Compound(45488493)
1919,Compound(10207753)
1920,Compound(45488494)
1921,Compound(787841)
1922,Compound(45488495)
1923,Compound(1103558)
1924,Compound(987995)
1925,Compound(45488496)
1926,Compound(13007266)
1927,Compound(4320874)
1928,Compound(45488497)
1929,Compound(45105627)
1930,Compound(5406077)
1931,Compound(3577248)
1932,Compound(2792766)
1933,Compound(5334245)
1934,Compound(42726447)
1935,Compound(45488498)
1936,Compound(15037624)
1937,Compound(2840610)
1938,Compound(45488499)
1939,Compound(45049763)
1940,Compound(773694)
1941,Compound(45488500)
1942,Compound(45488501)
1943,Compound(45488502)
1944,Compound(1125100)
1945,Compound(3754886)
1946,Compound(18554704)
1947,Compound(692546)
1948,Compound(45488503)
1949,Compound(45488504)
1950,Compound(2731244)
1951,Compound(45488505)
1952,Compound(4493768)
1953,Compound(45488506)
1954,Compound(45488507)
1955,Compound(45488508)
1956,Compound(45215346)
1957,Compound(4640943)
1958,Compound(2428953)
1959,Compound(20861483)
1960,Compound(750614)
1961,Compound(15995068)
1962,Compound(135536290)
1963,Compound(135536290)
1964,Compound(45488509)
1965,Compound(2807480)
1966,Compound(666965)
1967,Compound(3107644)
1968,Compound(5350579)
1969,Compound(5236165)
1970,Compound(23881219)
1971,Compound(45488510)
1972,Compound(3092839)
1973,Compound(2968792)
1974,Compound(45488511)
1975,Compound(3625962)
1976,Compound(3107538)
1977,Compound(4558088)
1978,Compound(22589910)
1979,Compound(4391660)
1980,Compound(3819974)
1981,Compound(1308757)
1982,Compound(18572320)
1983,Compound(135495724)
1984,Compound(2253201)
1985,Compound(1886200)
1986,Compound(4193350)
1987,Compound(17386815)
1988,Compound(4174337)
1989,Compound(45488513)
1990,Compound(3174433)
1991,Compound(2190515)
1992,Compound(7217540)
1993,Compound(45488514)
1994,Compound(1938786)
1995,Compound(30983078)
1996,Compound(2795904)
1997,Compound(45488515)
1998,Compound(2742844)
1999,Compound(1994681)
2000,Compound(5096389)
2001,Compound(1163200)
2002,Compound(45488516)
2003,Compound(1174100)
2004,Compound(45183418)
2005,Compound(2852080)
2006,Compound(2836155)
2007,Compound(2833933)
2008,Compound(2967426)
2009,Compound(3095210)
2010,Compound(4437033)
2011,Compound(42743655)
2012,Compound(2833930)
2013,Compound(3867089)
2014,Compound(16432442)
2015,Compound(45488517)
2016,Compound(4074025)
2017,Compound(2921843)
2018,Compound(2166265)
2019,Compound(4181338)
2020,Compound(16190678)
2021,Compound(45488519)
2022,Compound(16193431)
2023,Compound(16193431)
2024,Compound(4670836)
2025,Compound(45488520)
2026,Compound(15504515)
2027,Compound(883304)
2028,Compound(3214622)
2029,Compound(135711751)
2030,Compound(135711751)
2031,Compound(42743648)
2032,Compound(135459569)
2033,Compound(16002430)
2034,Compound(45488521)
2035,Compound(45488522)
2036,Compound(761228)
2037,Compound(5344328)
2038,Compound(7202406)
2039,Compound(889932)
2040,Compound(3098372)
2041,Compound(3237206)
2042,Compound(3123777)
2043,Compound(2248131)
2044,Compound(4683027)
2045,Compound(4380928)
2046,Compound(3110767)
2047,Compound(3089937)
2048,Compound(4157878)
2049,Compound(45488523)
2050,Compound(45488524)
2051,Compound(15366154)
2052,Compound(42734606)
2053,Compound(728855)
2054,Compound(42723388)
2055,Compound(6084219)
2056,Compound(6084219)
2057,Compound(42743577)
2058,Compound(651524)
2059,Compound(3627017)
2060,Compound(1070635)
2061,Compound(701357)
2062,Compound(5884074)
2063,Compound(6768103)
2064,Compound(6768103)
2065,Compound(4275749)
2066,Compound(24099410)
2067,Compound(45488525)
2068,Compound(45488526)
2069,Compound(45488526)
2070,Compound(799054)
2071,Compound(5715328)
2072,Compound(6617653)
2073,Compound(5717521)
2074,Compound(45488527)
2075,Compound(5750249)
2076,Compound(3711886)
2077,Compound(135468682)
2078,Compound(45488528)
2079,Compound(42721106)
2080,Compound(5181385)
2081,Compound(2747574)
2082,Compound(4524816)
2083,Compound(45488529)
2084,Compound(1121897)
2085,Compound(45488530)
2086,Compound(3131011)
2087,Compound(858278)
2088,Compound(622703)
2089,Compound(45488531)
2090,Compound(5205001)
2091,Compound(23994978)
2092,Compound(45488532)
2093,Compound(2860914)
2094,Compound(708778)
2095,Compound(2908037)
2096,Compound(6912457)
2097,Compound(16187436)
2098,Compound(45488533)
2099,Compound(45488534)
2100,Compound(4144516)
2101,Compound(972731)
2102,Compound(16192978)
2103,Compound(5111233)
2104,Compound(2874649)
2105,Compound(2812151)
2106,Compound(3175598)
2107,Compound(2864566)
2108,Compound(4371985)
2109,Compound(45488535)
2110,Compound(3095563)
2111,Compound(135481307)
2112,Compound(16247239)
2113,Compound(4370305)
2114,Compound(16025899)
2115,Compound(3249970)
2116,Compound(18554741)
2117,Compound(45164429)
2118,Compound(1339669)
2119,Compound(735661)
2120,Compound(14341447)
2121,Compound(45488536)
2122,Compound(45488538)
2123,Compound(15997072)
2124,Compound(2795858)
2125,Compound(45488540)
2126,Compound(1570576)
2127,Compound(45488541)
2128,Compound(1100514)
2129,Compound(1915938)
2130,Compound(899915)
2131,Compound(1595939)
2132,Compound(3396771)
2133,Compound(17060736)
2134,Compound(45488542)
2135,Compound(1829436)
2136,Compound(2877988)
2137,Compound(42743641)
2138,Compound(54728780)
2139,Compound(3848236)
2140,Compound(3141528)
2141,Compound(42739160)
2142,Compound(879239)
2143,Compound(45488544)
2144,Compound(4596842)
2145,Compound(4042976)
2146,Compound(107464)
2147,Compound(107464)
2148,Compound(107464)
2149,Compound(2827423)
2150,Compound(1630270)
2151,Compound(5322270)
2152,Compound(5075009)
2153,Compound(44659765)
2154,Compound(6796949)
2155,Compound(7433643)
2156,Compound(4088856)
2157,Compound(16398747)
2158,Compound(3227231)
2159,Compound(678892)
2160,Compound(22549262)
2161,Compound(16192927)
2162,Compound(3238132)
2163,Compound(2863545)
2164,Compound(938624)
2165,Compound(1723799)
2166,Compound(4239309)
2167,Compound(2826957)
2168,Compound(3210680)
2169,Compound(3489086)
2170,Compound(4291281)
2171,Compound(3112194)
2172,Compound(45488545)
2173,Compound(45488547)
2174,Compound(45488548)
2175,Compound(5762378)
2176,Compound(16195085)
2177,Compound(1874243)
2178,Compound(1048778)
2179,Compound(2886907)
2180,Compound(1101896)
2181,Compound(3567294)
2182,Compound(2863329)
2183,Compound(3111333)
2184,Compound(3129696)
2185,Compound(45488549)
2186,Compound(45488550)
2187,Compound(4050918)
2188,Compound(2895992)
2189,Compound(1351544)
2190,Compound(2910877)
2191,Compound(42743755)
2192,Compound(45488551)
2193,Compound(1042562)
2194,Compound(45175893)
2195,Compound(5130603)
2196,Compound(1107544)
2197,Compound(3110998)
2198,Compound(45488553)
2199,Compound(1182893)
2200,Compound(3137372)
2201,Compound(42748511)
2202,Compound(3132514)
2203,Compound(3091368)
2204,Compound(45488554)
2205,Compound(750102)
2206,Compound(3329657)
2207,Compound(1894941)
2208,Compound(3132483)
2209,Compound(52940515)
2210,Compound(20854354)
2211,Compound(1368621)
2212,Compound(3114499)
2213,Compound(3420089)
2214,Compound(2731440)
2215,Compound(4598758)
2216,Compound(42743622)
2217,Compound(6186224)
2218,Compound(3099297)
2219,Compound(3114706)
2220,Compound(4402169)
2221,Compound(45488556)
2222,Compound(45488557)
2223,Compound(45488558)
2224,Compound(20857862)
2225,Compound(775714)
2226,Compound(1798240)
2227,Compound(135971349)
2228,Compound(2847748)
2229,Compound(3111382)
2230,Compound(3120312)
2231,Compound(22334090)
2232,Compound(42743760)
2233,Compound(2747245)
2234,Compound(985379)
2235,Compound(16194192)
2236,Compound(3316517)
2237,Compound(22421800)
2238,Compound(2860241)
2239,Compound(1043746)
2240,Compound(5072485)
2241,Compound(2968563)
2242,Compound(45488560)
2243,Compound(135442437)
2244,Compound(3096807)
2245,Compound(12444380)
2246,Compound(2895088)
2247,Compound(45488562)
2248,Compound(3482215)
2249,Compound(135516367)
2250,Compound(7728365)
2251,Compound(2789334)
2252,Compound(45488563)
2253,Compound(4122647)
2254,Compound(2905638)
2255,Compound(42744037)
2256,Compound(45488564)
2257,Compound(42702456)
2258,Compound(45488565)
2259,Compound(45488566)
2260,Compound(2857213)
2261,Compound(45488567)
2262,Compound(45488568)
2263,Compound(4104174)
2264,Compound(45488569)
2265,Compound(5058371)
2266,Compound(799664)
2267,Compound(726893)
2268,Compound(3092033)
2269,Compound(16627196)
2270,Compound(17285709)
2271,Compound(5720318)
2272,Compound(45488570)
2273,Compound(135537880)
2274,Compound(45488571)
2275,Compound(22332867)
2276,Compound(45488572)
2277,Compound(42735684)
2278,Compound(135465746)
2279,Compound(991959)
2280,Compound(4038120)
2281,Compound(3098827)
2282,Compound(13743219)
2283,Compound(24052388)
2284,Compound(727642)
2285,Compound(5274061)
2286,Compound(3090485)
2287,Compound(23936271)
2288,Compound(13426979)
2289,Compound(2189308)
2290,Compound(586553)
2291,Compound(1738739)
2292,Compound(44171269)
2293,Compound(5093465)
2294,Compound(1116111)
2295,Compound(22521093)
2296,Compound(45488573)
2297,Compound(3238952)
2298,Compound(2927106)
2299,Compound(870844)
2300,Compound(44715110)
2301,Compound(20880314)
2302,Compound(45488574)
2303,Compound(42734878)
2304,Compound(16188433)
2305,Compound(1002936)
2306,Compound(135422711)
2307,Compound(45488575)
2308,Compound(3394337)
2309,Compound(45488576)
2310,Compound(9511051)
2311,Compound(2913934)
2312,Compound(24079750)
2313,Compound(2830276)
2314,Compound(4649843)
2315,Compound(3686515)
2316,Compound(3304304)
2317,Compound(24761409)
2318,Compound(24761409)
2319,Compound(3100292)
2320,Compound(45488577)
2321,Compound(831344)
2322,Compound(5750399)
2323,Compound(4754871)
2324,Compound(3820276)
2325,Compound(3731757)
2326,Compound(4111476)
2327,Compound(5750684)
2328,Compound(3150524)
2329,Compound(3596182)
2330,Compound(45488426)
2331,Compound(980642)
2332,Compound(45488578)
2333,Compound(16669405)
2334,Compound(4558106)
2335,Compound(135445814)
2336,Compound(45206860)
2337,Compound(1010383)
2338,Compound(782816)
2339,Compound(135719725)
2340,Compound(696542)
2341,Compound(1050047)
2342,Compound(3740059)
2343,Compound(45488580)
2344,Compound(2039544)
2345,Compound(45488582)
2346,Compound(2975233)
2347,Compound(3352064)
2348,Compound(16019285)
2349,Compound(11551495)
2350,Compound(2803741)
2351,Compound(45488583)
2352,Compound(21651)
2353,Compound(3467242)
2354,Compound(6623130)
2355,Compound(1713507)
2356,Compound(5409139)
2357,Compound(719303)
2358,Compound(45488584)
2359,Compound(45488585)
2360,Compound(834959)
2361,Compound(45220930)
2362,Compound(697227)
2363,Compound(4413616)
2364,Compound(306442)
2365,Compound(746748)
2366,Compound(45105659)
2367,Compound(5123507)
2368,Compound(45488586)
2369,Compound(3172815)
2370,Compound(968850)
2371,Compound(1475291)
2372,Compound(3639762)
2373,Compound(442390)
2374,Compound(5817505)
2375,Compound(4515427)
2376,Compound(2814605)
2377,Compound(790172)
2378,Compound(135971350)
2379,Compound(3104544)
2380,Compound(45176340)
2381,Compound(42709763)
2382,Compound(45488588)
2383,Compound(1729300)
2384,Compound(4597135)
2385,Compound(1133953)
2386,Compound(1359986)
2387,Compound(45488589)
2388,Compound(45488591)
2389,Compound(5753149)
2390,Compound(4192241)
2391,Compound(135971351)
2392,Compound(45488593)
2393,Compound(7190719)
2394,Compound(1909727)
2395,Compound(45488596)
2396,Compound(738805)
2397,Compound(588066)
2398,Compound(135641059)
2399,Compound(30050859)
2400,Compound(3185914)
2401,Compound(45488597)
2402,Compound(2853458)
2403,Compound(5182891)
2404,Compound(2876474)
2405,Compound(4286055)
2406,Compound(9540442)
2407,Compound(707114)
2408,Compound(3948505)
2409,Compound(1717953)
2410,Compound(135421168)
2411,Compound(1021407)
2412,Compound(1204323)
2413,Compound(5103117)
2414,Compound(2135958)
2415,Compound(987968)
2416,Compound(4161341)
2417,Compound(660942)
2418,Compound(5093323)
2419,Compound(5711811)
2420,Compound(2882573)
2421,Compound(4650070)
2422,Compound(831602)
2423,Compound(3405945)
2424,Compound(742339)
2425,Compound(854771)
2426,Compound(45488598)
2427,Compound(135506646)
2428,Compound(6624625)
2429,Compound(1378234)
2430,Compound(597544)
2431,Compound(23603845)
2432,Compound(16016832)
2433,Compound(3089518)
2434,Compound(4276826)
2435,Compound(5751253)
2436,Compound(4131301)
2437,Compound(2732085)
2438,Compound(16001516)
2439,Compound(5389110)
2440,Compound(16194800)
2441,Compound(6302663)
2442,Compound(45488599)
