,COMPOUND
299,Compound(16010878)
300,Compound(2871881)
301,Compound(2810694)
302,Compound(4305658)
303,Compound(44522356)
304,Compound(2982887)
305,Compound(30983285)
306,Compound(44522361)
307,Compound(44522362)
308,Compound(3116114)
309,Compound(556949)
310,Compound(2268521)
311,Compound(644989)
312,Compound(182791)
313,Compound(4266124)
314,Compound(2906201)
315,Compound(3132538)
316,Compound(3101861)
317,Compound(6456083)
318,Compound(1714990)
319,Compound(22422485)
320,Compound(740408)
321,Compound(3533307)
322,Compound(3665408)
323,Compound(3092835)
324,Compound(3092644)
325,Compound(4524296)
326,Compound(3097344)
327,Compound(1261911)
328,Compound(1516321)
329,Compound(769546)
330,Compound(727517)
331,Compound(2728436)
332,Compound(44522360)
333,Compound(1983171)
334,Compound(3475535)
335,Compound(4276095)
336,Compound(102185)
337,Compound(769543)
338,Compound(4445763)
339,Compound(135857464)
340,Compound(896851)
341,Compound(16033189)
342,Compound(44522121)
343,Compound(135495693)
344,Compound(741602)
345,Compound(4252973)
346,Compound(1929483)
347,Compound(7693819)
348,Compound(9551963)
349,Compound(3769438)
350,Compound(886844)
351,Compound(4149534)
352,Compound(3100093)
353,Compound(4284640)
354,Compound(7086360)
355,Compound(44522363)
356,Compound(1160282)
357,Compound(3477788)
358,Compound(2728831)
359,Compound(44522222)
360,Compound(2877003)
361,Compound(3578954)
362,Compound(87880)
363,Compound(563686)
364,Compound(1848574)
365,Compound(15997539)
366,Compound(3098567)
367,Compound(6602960)
368,Compound(4047337)
369,Compound(182807)
370,Compound(16013532)
371,Compound(5130607)
372,Compound(44521959)
373,Compound(6602552)
374,Compound(3240484)
375,Compound(44522123)
376,Compound(3799745)
377,Compound(828168)
378,Compound(5063276)
379,Compound(11608635)
380,Compound(5162150)
381,Compound(2953068)
382,Compound(3124283)
383,Compound(22431284)
384,Compound(23879868)
385,Compound(15998969)
386,Compound(616293)
387,Compound(1481575)
388,Compound(5308127)
389,Compound(1310650)
390,Compound(4289636)
391,Compound(7086341)
392,Compound(7254450)
393,Compound(2220735)
394,Compound(599579)
395,Compound(3608410)
396,Compound(2851484)
397,Compound(7254448)
398,Compound(3239170)
399,Compound(3504865)
400,Compound(3098466)
401,Compound(1256574)
402,Compound(1237510)
403,Compound(673737)
404,Compound(1736109)
405,Compound(2895914)
406,Compound(268956)
407,Compound(44522105)
408,Compound(16804573)
409,Compound(623893)
410,Compound(7086346)
411,Compound(15991863)
412,Compound(4427338)
413,Compound(415087)
414,Compound(4434813)
415,Compound(23724273)
416,Compound(3132840)
417,Compound(828173)
418,Compound(2881095)
419,Compound(947433)
420,Compound(16219340)
421,Compound(44527176)
422,Compound(3102584)
423,Compound(44522091)
424,Compound(44531712)
425,Compound(2850414)
426,Compound(2220490)
427,Compound(43815690)
428,Compound(4677300)
429,Compound(135401499)
430,Compound(20882974)
431,Compound(1110983)
432,Compound(16207145)
433,Compound(3440027)
434,Compound(2810116)
435,Compound(16194189)
436,Compound(16798777)
437,Compound(2810695)
438,Compound(2832017)
439,Compound(410965)
440,Compound(1579827)
441,Compound(3129554)
442,Compound(2843890)
443,Compound(3124081)
444,Compound(607324)
445,Compound(5107834)
446,Compound(626459)
447,Compound(1476278)
448,Compound(1070294)
449,Compound(44521968)
450,Compound(44522336)
451,Compound(6456576)
452,Compound(2842446)
453,Compound(2220641)
454,Compound(9048)
455,Compound(45266493)
456,Compound(2897232)
457,Compound(45482321)
458,Compound(2270285)
459,Compound(777988)
460,Compound(1788765)
461,Compound(761911)
462,Compound(45488185)
463,Compound(2845784)
464,Compound(45488186)
465,Compound(3533791)
466,Compound(3585487)
467,Compound(3590844)
468,Compound(45488187)
469,Compound(45488188)
470,Compound(3534352)
471,Compound(42723399)
472,Compound(2259825)
473,Compound(254401)
474,Compound(45488189)
475,Compound(819952)
476,Compound(24044591)
477,Compound(45488190)
478,Compound(4667922)
479,Compound(45488191)
480,Compound(45488192)
481,Compound(135636438)
482,Compound(2908225)
483,Compound(3110858)
484,Compound(52949047)
485,Compound(3239053)
486,Compound(782817)
487,Compound(1442100)
488,Compound(678644)
489,Compound(3096158)
490,Compound(4358932)
491,Compound(4105423)
492,Compound(346529)
493,Compound(6069568)
494,Compound(3125281)
495,Compound(4248107)
496,Compound(45488193)
497,Compound(45488194)
498,Compound(16002043)
499,Compound(181834)
500,Compound(45488195)
501,Compound(16241900)
502,Compound(2925179)
503,Compound(5307851)
504,Compound(746739)
505,Compound(2790764)
506,Compound(45488196)
507,Compound(1129575)
508,Compound(45488197)
509,Compound(45488199)
510,Compound(6622706)
511,Compound(3262197)
512,Compound(45488200)
513,Compound(3090001)
514,Compound(16011596)
515,Compound(45488201)
516,Compound(827981)
517,Compound(45488202)
518,Compound(16802711)
519,Compound(45161460)
520,Compound(808141)
521,Compound(45488203)
522,Compound(739114)
523,Compound(6559757)
524,Compound(22310331)
525,Compound(45488204)
526,Compound(45488205)
527,Compound(2278558)
528,Compound(136049437)
529,Compound(2882564)
530,Compound(1743294)
531,Compound(1743294)
532,Compound(45488207)
533,Compound(3740942)
534,Compound(12568332)
535,Compound(52945550)
536,Compound(6065415)
537,Compound(5091584)
538,Compound(45488209)
539,Compound(5285645)
540,Compound(5285645)
541,Compound(1138380)
542,Compound(5323219)
543,Compound(45488210)
544,Compound(709522)
545,Compound(2905951)
546,Compound(574594)
547,Compound(45488211)
548,Compound(3567639)
549,Compound(2867803)
550,Compound(45488212)
551,Compound(135485288)
552,Compound(135849146)
553,Compound(135849146)
554,Compound(4095981)
555,Compound(45488213)
556,Compound(2298049)
557,Compound(3788002)
558,Compound(3147257)
559,Compound(45488214)
560,Compound(1108436)
561,Compound(45488215)
562,Compound(3256921)
563,Compound(136049434)
564,Compound(136049441)
565,Compound(4621102)
566,Compound(610033)
567,Compound(42725570)
568,Compound(6501257)
569,Compound(826016)
570,Compound(45488218)
571,Compound(2185470)
572,Compound(4561979)
573,Compound(42699161)
574,Compound(3646403)
575,Compound(946243)
576,Compound(71719642)
577,Compound(1277441)
578,Compound(23878297)
579,Compound(45488219)
580,Compound(4209965)
581,Compound(7197832)
582,Compound(2787061)
583,Compound(45488220)
584,Compound(71719643)
585,Compound(4851018)
586,Compound(3101116)
587,Compound(2956655)
588,Compound(1047824)
589,Compound(22588362)
590,Compound(3286122)
591,Compound(3507497)
592,Compound(872974)
593,Compound(6710476)
594,Compound(4145335)
595,Compound(3110171)
596,Compound(16269920)
597,Compound(3163630)
598,Compound(4025609)
599,Compound(5083380)
600,Compound(136049440)
601,Compound(23800002)
602,Compound(45488223)
603,Compound(3189508)
604,Compound(6010438)
605,Compound(16670190)
606,Compound(45488224)
607,Compound(4337821)
608,Compound(42714834)
609,Compound(22334103)
610,Compound(1473010)
611,Compound(45488225)
612,Compound(45488226)
613,Compound(618111)
614,Compound(3098701)
615,Compound(24140557)
616,Compound(3653283)
617,Compound(1113670)
618,Compound(895724)
619,Compound(16189351)
620,Compound(3271780)
621,Compound(16674543)
622,Compound(3469723)
623,Compound(4161706)
624,Compound(45488228)
625,Compound(3106556)
626,Compound(569596)
627,Compound(45488229)
628,Compound(45488229)
629,Compound(20867749)
630,Compound(135514332)
631,Compound(45488230)
632,Compound(22334073)
