SMILES,target_0,target_1,target_2
C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)C3=CC=CS3)C(F)(F)F,1935.0,,
C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)N3C(=O)C4=C(C3=O)C=C(C=C4)C(=O)NC5=CC=CC(=C5)C(=O)O)C(=O)O,1136.0,,
C1=CC(=CC(=C1)NC(=O)COC2=CC=C(C=C2)Cl)C3=NC4=C(O3)C=CC=N4,310.8,,
C1=CC(=CC(=C1)NC(=O)NC2=CC(=CC(=C2)Cl)Cl)C(F)(F)F,12500.0,,
C1=CC(=CC(=C1)NC(=O)NC2=CC=NC=C2)NC(=O)NC3=CC=NC=C3,2226.0,,
C1=CC(=CC(=C1)NC2=NC3=NON=C3N=C2NC4=CC=C(C=C4)Br)C(F)(F)F,5200.0,,
C1=CC(=CC(=C1)NC2=NC3=NON=C3N=C2NC4=CC=C(C=C4)Cl)C(F)(F)F,1614.0,,
C1=CC(=CC(=C1)O)C2=CN=CC(=N2)C3=CN=CC=C3,1287.0,,
C1=CC(=CC(=C1)O)CNC2=CN=CC(=C2)C3=CC=C(C=C3)O,1248.0,,
C1=CC(=CC(=C1)OC(=O)C2=CC=C(C=C2)[N+](=O)[O-])NC(=O)C3=CC=C(C=C3)[N+](=O)[O-],269.9,,
C1=CC(=CC(=C1)OC2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br)OC4=CC=C(C=C4)NC(=O)C5=CC=C(O5)Br,4710.0,,
C1=CC(=CC(=C1)OCC2=CC(=C(C=C2)Cl)Cl)C=NN=C(N)N,1686.0,,
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)C2=CC(=C(C=C2)Cl)Cl,57.5,,
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=CC=C(C=C2)C3=CN=C(N=C3)C4=CC=C(C=C4)NC(=O)C5=CC(=CC=C5)[N+](=O)[O-],681.0,,
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)NC(=O)C5=CC(=CC=C5)[N+](=O)[O-],246.2,635.0,
C1=CC(=CC(=C1)[N+](=O)[O-])C(C2=C(C3=C(C=CC=N3)C=C2)O)NC4=NC=CS4,198.3,,
C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC=C(O2)/C=C/C(=O)NC3=NC=CS3,570.0,,
C1=CC(=CC(=C1)[N+](=O)[O-])C2=NNC(=C2)C(=O)NN=CC3=CC=NC=C3,2120.0,,
C1=CC(=CC(=C1)[N+](=O)[O-])C=NNC(=O)C2=CC=C(C=C2)N,111.7,,
C1=CC(=CC(=C1)[N+](=O)[O-])CNC2=CC(=C(C=C2)F)Cl,8050.0,,
C1=CC(=CC(=C1)[N+](=O)[O-])CSC2=NC3=C(C(=O)N2C4=CC=C(C=C4)Br)SC=C3,1017.0,,
C1=CC(=CC(=C1)[N+](=O)[O-])NC2C(=O)NC(=O)N2N,139.3,,
C1=CC(=CC=C1/C=C/2\C(=O)NC(=S)N2)C(F)(F)F,1107.0,,
C1=CC(=CC=C1/C=C/C2=NC3=C(N2)C=C(C=C3)N)Cl,2077.0,,
C1=CC(=CC=C1C#N)C2=CN=C(C(=N2)C3=CC=C(C=C3)C(=O)N)N,99.8,,
C1=CC(=CC=C1C#N)NC(=O)C2=C(C=CC(=C2)Cl)O,1006.0,,
C1=CC(=CC=C1C#N)NC(=O)CCCC(=O)O,10.62,,
C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,68.7,,
C1=CC(=CC=C1C(=N)N)OCCCOC2=CC=C(C=C2)C(=N)N.Cl.Cl,59.5,,
C1=CC(=CC=C1C(=O)C2=CC(=C(C=C2)Cl)Cl)[N+](=O)[O-],555.0,,
C1=CC(=CC=C1C(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl)Br,291.0,,
C1=CC(=CC=C1C(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl)[N+](=O)[O-],565.0,,
C1=CC(=CC=C1C(=O)NNC(=O)C2=CSN=N2)C(F)(F)F,792.0,,
C1=CC(=CC=C1C(=O)NNC(=O)C2=CSN=N2)Cl,1291.0,,
C1=CC(=CC=C1C(=O)O)S(=O)(=O)C2=CC3=C(C=C2)C(=O)N(C3=O)C4=CC=C(C=C4)SC5=CC=C(C=C5)[N+](=O)[O-],2069.0,,
C1=CC(=CC=C1C(C#N)C2=NC3=C(C=C2)C(=CC(=N3)C(F)(F)F)C(F)(F)F)C(F)(F)F,315.6,,
C1=CC(=CC=C1C(CN)C2=CC=C(C=C2)F)F,99.8,,
C1=CC(=CC=C1C2=C(N=NN2C3=NON=C3N)C(=O)NN=CC4=CC(=C(C=C4)F)Br)[N+](=O)[O-],127.6,,
C1=CC(=CC=C1C2=C/C(=C(/CCC(=O)O)\C3=CC=C(C=C3)Cl)/C(=O)N2)Cl,256.1,,
C1=CC(=CC=C1C2=CC(=C(C=C2)O)CNCCCN3C=CN=C3)F,1426.0,,
C1=CC(=CC=C1C2=CN3C(=N2)SC(=N3)C(F)(F)F)[N+](=O)[O-].Br,818.0,,
